u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lanes,ref,junction,width,bridge,access,tunnel,service,est_width
17585270,5517343625,0,3552331,primary,20 mph,Whiteladies Road,False,True,40.14595586834557,"LINESTRING (-2.6088535 51.4624759, -2.6087198 51.4621246)",2,A4018,,,,,,,
17585270,26165102,0,4315787,residential,20 mph,Aberdeen Road,False,False,64.55600045966855,"LINESTRING (-2.6088535 51.4624759, -2.6080609 51.4627812)",,,,6,,,,,
17585270,26170075,0,4316004,service,20 mph,Brighton Mews,False,True,93.24620726940535,"LINESTRING (-2.6088535 51.4624759, -2.609382 51.4623058, -2.6100474 51.4620887)",,,,,,,,,
17585271,7113258773,0,3552331,primary,20 mph,Whiteladies Road,False,True,8.207181231724633,"LINESTRING (-2.6092901 51.4636003, -2.6092607 51.4635288)",2,A4018,,,,,,,
17585271,17585272,0,3552331,primary,20 mph,Whiteladies Road,False,False,103.43464397434704,"LINESTRING (-2.6092901 51.4636003, -2.60934 51.4637138, -2.6094959 51.4641035, -2.6096388 51.4644605, -2.6096534 51.4645025)",2,A4018,,,,,,,
17585272,986084090,0,"[563915536, 3552331, 563915535]",primary,20 mph,Whiteladies Road,False,False,65.6118834123445,"LINESTRING (-2.6096534 51.4645025, -2.6097439 51.4646894, -2.6097753 51.4647285, -2.6098591 51.4648179, -2.6100673 51.4650288)",2,A4018,,,yes,,,,
17585272,17585271,0,3552331,primary,20 mph,Whiteladies Road,False,True,103.43464397434703,"LINESTRING (-2.6096534 51.4645025, -2.6096388 51.4644605, -2.6094959 51.4641035, -2.60934 51.4637138, -2.6092901 51.4636003)",2,A4018,,,,,,,
17585272,840488227,0,261464010,residential,20 mph,Cotham Hill,True,False,19.842231720746415,"LINESTRING (-2.6096534 51.4645025, -2.6095489 51.4645244, -2.609464 51.4645387, -2.6093763 51.4645447)",,,,,,,,,
17705260,830454725,0,91189306,residential,20 mph,Percival Road,False,False,37.90167967045927,"LINESTRING (-2.6222838 51.4602765, -2.6221608 51.4603522, -2.6218928 51.4605149)",,,,,,,,,
17705266,830454725,0,91189306,residential,20 mph,Percival Road,False,True,88.57792083965879,"LINESTRING (-2.6209733 51.4610684, -2.6218928 51.4605149)",,,,,,,,,
17705266,25932474,0,4293773,residential,20 mph,College Road,False,False,138.98477838014773,"LINESTRING (-2.6209733 51.4610684, -2.6204276 51.460542, -2.6201493 51.46028, -2.6198576 51.46003)",,,,,,,,,
17705266,4527208127,0,4293773,residential,20 mph,College Road,False,True,72.60810177309078,"LINESTRING (-2.6209733 51.4610684, -2.6211382 51.4612279, -2.6213725 51.4614569, -2.6215407 51.4616174)",,,,,,,,,
17705281,7621555190,0,4293773,residential,20 mph,College Road,False,False,1.336360081113458,"LINESTRING (-2.6219818 51.4619583, -2.6219692 51.4619492)",,,,,,,,,
17705281,21037686,0,4003171,unclassified,20 mph,Guthrie Road,False,False,188.28300608949561,"LINESTRING (-2.6219818 51.4619583, -2.6217637 51.4620502, -2.6212076 51.4623037, -2.6206421 51.4625416, -2.6204939 51.4626092, -2.6204449 51.4626297, -2.6197471 51.4629215)",,,,,,,,,
17705472,25954697,0,277928459,unclassified,20 mph,The Mall,False,True,75.1224413070078,"LINESTRING (-2.6219235 51.4565048, -2.6215412 51.4558726)",,,,,,,,,
17705472,5397167043,0,177758759,secondary,20 mph,Suspension Bridge Road,False,False,74.13494208380776,"LINESTRING (-2.6219235 51.4565048, -2.6217479 51.4565423, -2.6214854 51.4565774, -2.6208771 51.4566374)",,B3129,,,,,,,
17705478,3356986276,0,41554111,secondary,20 mph,,True,False,2.9372427365193037,"LINESTRING (-2.6200952 51.4567006, -2.6201159 51.4567034, -2.6201354 51.4567086)",,,roundabout,,,,,,
17705480,3356986394,0,328876553,tertiary,20 mph,Clifton Down,True,False,12.951021857657528,"LINESTRING (-2.6202613 51.4569132, -2.6202305 51.4569035, -2.6202076 51.4568956, -2.6201922 51.4568875, -2.6201259 51.4568359)",1,,,,,,,,
17705485,21037692,0,4301910,unclassified,20 mph,Portland Street,True,False,40.718127131919,"LINESTRING (-2.621326 51.4556594, -2.6207935 51.4558143)",,,,,,,,,
17705485,2823657862,0,4318392,residential,20 mph,Portland Street,False,False,5.345084034571022,"LINESTRING (-2.621326 51.4556594, -2.6213974 51.4556412)",,,,,,,,,
17705487,26217285,0,328876544,secondary,20 mph,Clifton Down Road,False,False,26.92186933596505,"LINESTRING (-2.6196883 51.4561138, -2.6195506 51.4558874)",,B3129,,,,,,,
17705487,1052953619,0,328876544,secondary,20 mph,Clifton Down Road,False,True,52.56450063104738,"LINESTRING (-2.6196883 51.4561138, -2.6199261 51.4565627)",,B3129,,,,,,,
17705489,21529963,0,4757145,secondary,20 mph,Regent Street,False,False,49.07942005697615,"LINESTRING (-2.6189805 51.454929, -2.6186736 51.4545312)",2,B3129,,,,,,,
17705489,26009751,0,328876544,secondary,20 mph,Clifton Down Road,False,True,21.474456139730055,"LINESTRING (-2.6189805 51.454929, -2.618998 51.4549551, -2.6190667 51.4550531, -2.6190976 51.4551077)",,B3129,,,,,,,
