node_id,lat,lon,tags
2147670094,52.0533825,-1.3460929,{}
2147670097,52.0534765,-1.3459229,{}
691122606,52.0533947,-1.3457916,{}
414912348,52.0532909,-1.3459003,{}
414912349,52.0532212,-1.345894,{}
2147670092,52.05324,-1.3457585,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing', 'kerb': 'flush', 'tactile_paving': 'yes'}"
2147670090,52.0530489,-1.3459088,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing', 'kerb': 'flush', 'tactile_paving': 'yes'}"
414912346,52.0531525,-1.3459584,{}
414912347,52.0531261,-1.3460707,{}
3260553,52.0536114,-1.3471558,{}
414912350,52.0540775,-1.3479746,{}
414912351,52.0540412,-1.3481235,{}
441532308,52.0541592,-1.3484004,{}
1838748058,52.0541217,-1.3484442,{}
8701198812,52.054473,-1.3490616,{}
9873063870,52.0545248,-1.3494535,{}
3260558,52.0547877,-1.3497202,{}
1838748081,52.0547607,-1.3497615,{}
8532106457,52.0548427,-1.3498416,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing'}"
25289504,52.0554096,-1.3508252,{}
1584984104,52.0555364,-1.350784,{}
1584984096,52.0554684,-1.3508315,{}
1584984100,52.0555055,-1.3508201,{}
8701198811,52.0556623,-1.3510857,{}
8532106459,52.0556176,-1.3511704,"{'crossing': 'unmarked', 'crossing:island': 'no', 'crossing:markings': 'no', 'highway': 'crossing'}"
3260562,52.0558228,-1.3515068,{}
8701207174,52.0558465,-1.3515461,{}
25289505,52.0560896,-1.3519495,{}
8532106461,52.0563039,-1.3523206,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing'}"
9121007121,52.0563376,-1.3523778,{}
25289353,52.056499,-1.3523701,{}
414912342,52.056466,-1.3524311,{}
25289362,52.0564427,-1.352503,{}
3260595,52.0564346,-1.3525447,{}
25289361,52.0564299,-1.3525878,{}
25289354,52.0564284,-1.3526315,{}
25289360,52.0564304,-1.3526752,{}
3260610,52.0564357,-1.3527181,{}
9889823684,52.0563962,-1.3527695,{}
